SiteCode,SiteID,OrderStatus,AcctNmbr,Customer,InvoiceFrequencyID,Description,Salesperson_Name,Salesperson_ID,ConsolidationFlag,OrderDate,Amount,Orders
"ARC       ","7","N","102799","ARC CULVER CITY","9","Weekly - Email PDF ARC","Phil Nabal","19","Consolidations","2024-02-01","0.02","2"
"ARC       ","7","A","102790","ARC LOGISTICS POMONA","9","Weekly - Email PDF ARC","Phil Nabal","19","Consolidations","2024-02-01","0.01","1"
"ARC       ","7","N","10049","ARC - CULVER CITY DRIVER PAY","13","Internal","Internal","9","Exclude Consolidations","2024-02-01","0","8"
"ARC       ","7","A","102770","ARC POMONA - S&D","9","Weekly - Email PDF ARC","Phil Nabal","19","Exclude Consolidations","2024-02-01","6585.76","138"
"ARC       ","7","A","102799","ARC CULVER CITY","9","Weekly - Email PDF ARC","Phil Nabal","19","Exclude Consolidations","2024-02-01","279.28","12"
"ARC       ","7","N","102770","ARC POMONA - S&D","9","Weekly - Email PDF ARC","Phil Nabal","19","Exclude Consolidations","2024-02-01","4185.79","144"
"ARC       ","7","A","102790","ARC LOGISTICS POMONA","9","Weekly - Email PDF ARC","Phil Nabal","19","Exclude Consolidations","2024-02-01","4626.4","26"
"Deliver-It","1","A","10000","DELIVER-IT","13","Internal","Internal","9","Exclude Consolidations","2024-02-01","69.27","5"
"Deliver-It","1","A","101999","DELIVER-IT ","13","Internal","Internal","9","Exclude Consolidations","2024-02-01","0.14","7"
"Deliver-It","1","A","102060","PAY-NET INC","29","Auto ACH - Semi-Email","Cindy Jones","2","Exclude Consolidations","2024-02-01","28.84","4"
"ARC       ","7","N","102770","ARC POMONA - S&D","9","Weekly - Email PDF ARC","Phil Nabal","19","Consolidations","2024-02-01","0.13","13"
"ARC       ","7","N","102799","ARC CULVER CITY","9","Weekly - Email PDF ARC","Phil Nabal","19","Exclude Consolidations","2024-02-01","1495.74","58"
"Deliver-It","1","A","100935","DELIVER-IT - NON REVENUE -MESSENGER","13","Internal","Internal","9","Exclude Consolidations","2024-02-01","0.36","18"
"ARC       ","7","N","102790","ARC LOGISTICS POMONA","9","Weekly - Email PDF ARC","Phil Nabal","19","Consolidations","2024-02-01","0.02","2"
"Deliver-It","1","A","102183","PRIDE PHARMACY - SAN DIEGO","11","CC - Email PDF","Ernie Eiserman","3","Exclude Consolidations","2024-02-01","8.65","1"
"Deliver-It","1","A","102392","ADP - RUN PRODUCT - ROUTES","17","ADP Run - Email PDF","House","1","Exclude Consolidations","2024-02-01","1972.88","410"
"Deliver-It","1","A","102477","SDP PAYROLL","8","Weekly - Email Excel and PDF","Phil Nabal","19","Exclude Consolidations","2024-02-01","42.65","5"
"Deliver-It","1","A","102067","SOURCEONE PAYROLL SERVICES","2","Semi - Email PDF","House","1","Exclude Consolidations","2024-02-01","35.46","3"
"ARC       ","7","N","102790","ARC LOGISTICS POMONA","9","Weekly - Email PDF ARC","Phil Nabal","19","Exclude Consolidations","2024-02-01","1666.26","12"
"Deliver-It","1","A","100296","CAREMAX","4","Semi","House","1","Exclude Consolidations","2024-02-01","20.69","2"
"Deliver-It","1","A","102180","CARE PLUS - SAN DIEGO - T-Force","6","Weekly - Email PDF","Ernie Eiserman","3","Exclude Consolidations","2024-02-01","570","38"
"Deliver-It","1","A","102253","ADP - AUTOPAY - CALENDAR 123 LA PALMA","18","ADP Majors - Email PDF","Phil Nabal","19","Exclude Consolidations","2024-02-01","399.78","9"
"Deliver-It","1","A","102464","TELEPAYROLL INC","6","Weekly - Email PDF","Mike Martin","6","Exclude Consolidations","2024-02-01","9.13","1"
"Deliver-It","1","A","102392W2","ADP - RUN PRODUCT - W2","17","ADP Run - Email PDF","House","1","Exclude Consolidations","2024-02-01","38.32","8"
"Deliver-It","1","A","102763","ALBERTSONS - BOXES - VONS","14","Monthly - Email PDF","Phil Nabal","19","Exclude Consolidations","2024-02-01","105.92","16"
"Deliver-It","1","A","102214","ADP - NATIONAL - ROUTES LA PALMA","19","ADP Nationals - Email PDF","House","1","Exclude Consolidations","2024-02-01","23.44","4"
"Deliver-It","1","A","102475","PHYSICIANS PLAZA PHARMACY  - OUTBOUND","6","Weekly - Email PDF","Amber Angelovic","25","Exclude Consolidations","2024-02-01","10.86","1"
"Deliver-It","1","A","100463","DELIVER-IT - PU ROUTES","13","Internal","Internal","9","Consolidations","2024-02-01","0.01","1"
"Deliver-It","1","A","102215","ADP - NATIONAL - CALENDAR M91 LA PALMA","19","ADP Nationals - Email PDF","House","1","Exclude Consolidations","2024-02-01","99.92","2"
"Deliver-It","1","A","102629","EMPIRE OPTICAL - INBOUND","13","Internal","Internal","9","Exclude Consolidations","2024-02-01","0.02","1"
"Deliver-It","1","A","102495","BARTLEY OPTICAL - ON CALL PICKUPS","13","Internal","Internal","9","Exclude Consolidations","2024-02-01","0.26","13"
"Deliver-It","1","A","102675","MERIDIAN OPTICAL LAB - OUTBOUND","33","Essilor","Cindy Jones","2","Exclude Consolidations","2024-02-01","11.95","2"
"Deliver-It","1","A","103031","ENOVEX PHARMACY","2","Semi - Email PDF","Amber Angelovic","25","Exclude Consolidations","2024-02-01","18.45","3"
"Deliver-It","1","A","102289","ADP - AUTO PAY - CALENDAR 599 LA PALMA","18","ADP Majors - Email PDF","House","1","Consolidations","2024-02-01","0.01","1"
"Deliver-It","1","A","102607","OSO HOME CARE - IRVINE","2","Semi - Email PDF","Phil Nabal","19","Exclude Consolidations","2024-02-01","13.47","1"
"Deliver-It","1","A","102065","EMPLOYERS RESOURCE","2","Semi - Email PDF","Amber Angelovic","25","Exclude Consolidations","2024-02-01","26.79","3"
"Deliver-It","1","A","102289","ADP - AUTO PAY - CALENDAR 599 LA PALMA","18","ADP Majors - Email PDF","House","1","Exclude Consolidations","2024-02-01","2263.61","58"
"Deliver-It","1","A","102659","ALBERTSONS - BOXES","14","Monthly - Email PDF","Phil Nabal","19","Exclude Consolidations","2024-02-01","72.82","11"
"Deliver-It","1","A","102669","ABC PHARMACY - RANCHO CUCAMONGA","29","Auto ACH - Semi-Email","Phil Nabal","19","Exclude Consolidations","2024-02-01","7.61","1"
"Deliver-It","1","A","102980","SCRIPPS HEALTH MERCY PHARMACY","2","Semi - Email PDF","Ernie Eiserman","3","Exclude Consolidations","2024-02-01","290.89","19"
"Deliver-It","1","A","103603","ZARA USA INC","34","BBB","Mikel Mobley","27","Exclude Consolidations","2024-02-01","340.86","79"
"Deliver-It","1","A","102501","ADP - RUN PRODUCT - ROUTES","17","ADP Run - Email PDF","Phil Nabal","19","Exclude Consolidations","2024-02-01","69.24","12"
"Deliver-It","1","A","102692","HEARTLAND PAYROLL SOLUTIONS","8","Weekly - Email Excel and PDF","Mike Martin","6","Exclude Consolidations","2024-02-01","145.94","17"
"Deliver-It","1","A","102244","PERRIS HILLS PHARMACY","10","CC","Ernie Eiserman","3","Exclude Consolidations","2024-02-01","8.65","1"
"Deliver-It","1","A","102292","DELIVER-IT - SUPPLY REQUESTS","13","Internal","Internal","9","Exclude Consolidations","2024-02-01","0.04","2"
"Deliver-It","1","A","102698","COASTAL PAYROLL","35","Auto - ACH - Semi - Email Excel & PDF","Jenna Crevda","23","Exclude Consolidations","2024-02-01","91.76","10"
"Deliver-It","1","A","102677","MERIDIAN OPTICAL LAB - ON CALL PICKUPS","13","Internal","Internal","9","Exclude Consolidations","2024-02-01","0.02","1"
"Deliver-It","1","A","103010","K-MARS OPTICAL - ON CALL","13","Internal","Internal","9","Consolidations","2024-02-01","0.08","8"
"Deliver-It","1","A","103609","MWI ANIMAL HEALTH","8","Weekly - Email Excel and PDF","Mike Martin","6","Exclude Consolidations","2024-02-01","264.05","35"
"Deliver-It","1","A","102850","SMC","6","Weekly - Email PDF","Phil Nabal","19","Exclude Consolidations","2024-02-01","67.65","11"
"Deliver-It","1","A","102709","FOOT IN MOTION INC - ON CALL PICKUP","13","Internal","Internal","9","Exclude Consolidations","2024-02-01","16.48","1"
